"local","salary","department","tools","else_need","url"
"台中市南區","待遇面議"," 不拘 ","Linux、Java贊助提升專業能力"," ‧1+ years of experience in coding with Java (Spring boot is preferred) .
‧1+ years of experience in RDBMS or NoSQL (MongoDB is preferred)
‧Familiarity with Linux based operating systems.
‧Experience in source control system (git)
‧Knowledge and experience of RESTful API design
‧Ability to collaborate, always be learning and seeking improvement
‧B.S or M.S. degree in computer science or a related field.

Preferred Qualifications
‧Experience with cloud service providers (AWS, Alibaba…).
‧Experience in CI/CD pipeline.
‧Knowledge of networking and computer resource management.
 ","https://www.104.com.tw/job/78761?jobsource=jolist_c_relevance"
"台北市松山區","月薪30,000~70,000元"," 資訊管理相關、資訊工程相關 ","Linux、Python贊助提升專業能力"," 薪資會依學經歷背景及相關工作經驗核薪 ","https://www.104.com.tw/job/7ahiu?jobsource=jolist_c_relevance"
"台北市南港區","月薪30,000~60,000元"," 不拘 "," 不拘 "," 1.有Node.js、PHP開發經驗 
2.具有API開發經驗， 串接過Restful
3.使用過RMDB與NOSQL
4.會使用git版本控制
5.有IoT, MQTT開發經驗加分
6.有軟體專案管理經驗加分
7. 有Golang開發經驗尤佳
* 應徵者請附上作品連結面談時討論
* 面試與上班地點：內湖 ","https://www.104.com.tw/job/6swra?jobsource=jolist_c_relevance"
"台中市南區","待遇面議"," 不拘 ","Python贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/7aqcs?jobsource=jolist_c_relevance"
"新北市中和區","月薪32,000~40,000元"," 不拘 ","C#、MySQL贊助提升專業能力"," 普通小型車 ","https://www.104.com.tw/job/6jvbq?jobsource=jolist_c_relevance"
"新北市三重區","月薪45,000~120,000元"," 資訊工程相關、其他數學及電算機科學相關 ","Linux、Github、Python、MySQL、HTML贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6qafx?jobsource=jolist_c_relevance"
"台北市大安區","待遇面議"," 資訊管理相關、資訊工程相關、其他數學及電算機科學相關 "," 不拘 "," 1. 具備2 ~ 5 年程式設計及開發經驗
2. 熟悉 Java 與物件導向設計及資料庫設計
3. 視程式重構及除錯為己任
4. 具備良好英文讀寫能力，約 TOEIC 中上程度
4. 對軟體設計與開發有熱情，願意嘗試新技術及架構
5. 樂於分享經驗，幫助團隊提昇效率
6. 具有跨系統溝通整合經驗佳
7. 熟悉 UML, linux, PostgreSQL, git, design patterns 佳 ","https://www.104.com.tw/job/5xqxp?jobsource=jolist_c_relevance"
"台北市中正區","待遇面議"," 不拘 ","Go、MySQL贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6ib0r?jobsource=jolist_c_relevance"
"台北市中山區","月薪70,000~130,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/6d7fq?jobsource=jolist_c_relevance"
"新北市林口區","月薪40,000~60,000元"," 數學及電算機科學學科類 ","Linux、Systems Analysis、Git、Python、MySQL、Django贊助提升專業能力"," 1. 有OOP概念
2. 具備web service開發經驗
3. 具Git版本控制使用經驗
4. 具備CI/CD/CD實作經驗
5. 具備Unit Test經驗
6. 具備DevOps相關經驗
7. 熟悉SpringBoot、SpringFramework
8. 熟悉Agile/Scrum運作
9. 對專案開發目標進行技術選型和決策，給出具體技術方案為佳
10. 曾參與研發大型網路服務為佳
11. 熟悉大型網站平台開發經驗, 了解如何調教效能尤佳
12. 對前端技術有了解, 有開發經驗佳。 ","https://www.104.com.tw/job/71bmd?jobsource=jolist_c_relevance"
