"local","salary","department","tools","else_need","url"
"台北市內湖區","月薪55,000~142,000元"," 不拘 ","ASP.NET、C#、Visual Studio .net、MS SQL、HTML、JavaScript、XML、jQuery贊助提升專業能力"," 【MUST TO HAVE】 
‧ Experience with one or more purpose programming languages including Javascript, C#, or Go. 
‧ Experience with RDBMS or NoSQL. 
‧ Familiarity with Unit Test. 
‧ Experience working with two or more of the following: web application development, distributed and parallel systems, or developing large software systems. 

【NICE TO HAVE】 
‧ Understanding Microservices architecture. 
‧ Understanding OOP and Design Patterns. 
‧ Familiarity with CI/CD, Docker/Kubernetes 
‧ Experience architecting and building a product from the ground up. 
Understanding with TDD, BDD, or DDD. 
‧ Agile Scrum experience will be a plus. 
‧ Ability to learn other coding languages as needed.  ","https://www.104.com.tw/job/6yqdu?jobsource=jolist_a_relevance"
"新北市中和區","月薪35,000~55,000元"," 不拘 ","Linux、Java、MySQL、HTTP贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/779y1?jobsource=jolist_a_relevance"
"高雄市前鎮區","月薪30,000~50,000元"," 資訊工程相關、資訊管理相關、其他數學及電算機科學相關 ","ASP.NET、C#、Node.js贊助提升專業能力"," 1.熟悉C#/ASP.Net、Node.js程式語言開發3年以上。
2.熟悉IIS架構設計與設定。
3.具資安檢測相關經驗。
4.具軟體版本控制(Git)及CI/CD觀念。
5.對FINTECH技術研究開發具相關經驗，有金融服務或代理支付領域工作經驗者尤佳。
6.對創新技術能主動學習並願接受培訓者優先錄取。 ","https://www.104.com.tw/job/70f15?jobsource=jolist_a_relevance"
"高雄市鼓山區","月薪60,000~90,000元"," 數學及電算機科學學科類、工程學科類 ","Git、Node.js贊助提升專業能力","  [公司福利]
1. 勞健保，週休二日
2. 不定期公司聚餐
3. 優於勞基法特休天數
4.良好的辦公環境,提供咖啡等使用 ","https://www.104.com.tw/job/78esz?jobsource=jolist_a_relevance"
"高雄市三民區","月薪33,000元以上"," 數學及電算機科學學科類、工程學科類 ","Java贊助提升專業能力"," 1. 自我管理與時間掌握能力佳 
2. 主動積極、願意學習新事物 
3. 保持團隊與跨部門溝通合作

加分項目：
1. 熟悉 Linux 指令
2. 熟悉 SQL 語法
3. 使用過 AWS、GCP 等公有雲服務使用過 Git
 ","https://www.104.com.tw/job/6zubc?jobsource=jolist_a_relevance"
"桃園市龍潭區","月薪40,000~52,000元"," 不拘 ","Linux、Github、AJAX、PHP、MySQL、PostgreSQL、FTP、ssh贊助提升專業能力"," 一、認同綠色環保理念。
二、為維護自然環境永續，本公司全面禁菸，且於公出(差)及客戶拜訪期間嚴禁抽煙之行為。
三、了解版本控制(如Git)且熟悉Linux基本操作，能使用LAMP架設網站。
四、熟悉PHP語言、MySQL資料庫運用及金流、物流及各式API串接。
五、熟悉GCP雲主機、SQL Serve及任一後端Framework(Laravel、Codeigniter)尤佳
六、擅長Apache伺服器管理及Nginx者優先安排面試。

※如經面試錄取後，報到時須繳交「體格檢查表(一般)」，請於報到前自行至合格醫療機構辦理體檢。 ","https://www.104.com.tw/job/6yof3?jobsource=jolist_a_relevance"
"台中市南屯區","月薪45,000~60,000元"," 資訊工程相關 ","Linux、Git贊助提升專業能力"," ▲加分條件：
1. 曾有Windows Application Programming (win32/UWP)開發經驗
2. 有滲透測試或數位鑑定經驗
3. 熟悉Data Shippers
4. 持有OSCP、CHFI
 ","https://www.104.com.tw/job/722bl?jobsource=jolist_a_relevance"
"台北市大安區","年薪1,000,000~1,800,000元"," 資訊工程相關 ","Git贊助提升專業能力"," 
【條件需求】
   - 3 年以上於 JSON 等 Web Service 及串接 Web API 開發經驗
   - 熟悉 .Net Core 及 VS Code 或 Visual Studio 等相關工具
   - 熟悉網路通信機制、多執行緒處理。
   - 熟悉MVC架構
   - 具有 Docker、 Git 使用經驗
   - 有良好的代碼習慣：結構清晰、命名規範、邏輯性強及代碼乾淨
   - 具備閱讀英文技術文件能力
   - 良好的團隊合作精神，熱衷接受和掌握新技術

 
【如果您還有這些，我們一定優先考慮】
   - 熟悉 Angular / TypeScript 、具備前端開發經驗
   - Microservices 、 Domain Driven Design 開發設計經驗
   - 具有 Azure 、 AWS 使用經驗
   - 熟悉單元測試


Senior Backend Developer (.NET Core) 資深後端工程師
★★★ 僅受理以下應徵方式 ★★★
請透過此連結投遞履歷 : https://authme.teamdoor.io/s/SSEHWY

AuthMe 求才若渴，若您身懷絕技，歡迎來討論期望待遇！ ","https://www.104.com.tw/job/79pg0?jobsource=jolist_a_relevance"
"台北市中山區","月薪50,000~70,000元"," 數學及電算機科學學科類 "," 不拘 "," 必要條件：
- 熟悉 Golang
- 熟悉至少一種關聯式資料庫 (PostgreSQL / MySQL / MariaDB / MS-SQL)
- 熟悉版本控制系統 (Git / SVN)
- 熟悉容器化開發
- 撰寫過單元測試與整合測試
- 良好英語能力
- 2 年以上程式開發相關經驗
- 有活力、積極主動
- 有良好的學習能力與問題解決能力

加分條件：
- 了解 Git Flow、GitHub Flow 和 TBD 的差異
- 了解 RESTful 的概念並設計過 RESTful API
- 具 TDD、CI / CD 的概念
- 有資料庫效能優化的經驗
- 對開源專案有過貢獻 ","https://www.104.com.tw/job/6sh30?jobsource=jolist_a_relevance"
"台北市中山區","年薪600,000~800,000元"," 數學及電算機科學學科類、運輸通信學科類 ","Java、Spring、MySQL贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6shoq?jobsource=jolist_a_relevance"
